,award_unique_key,award_id_fain,federal_action_obligation,total_obligated_amount,transaction_description,prime_award_base_transaction_description,action_date,awarding_agency_name,awarding_sub_agency_name,recipient_name,recipient_parent_name,recipient_country_name,primary_place_of_performance_country_name,subaward_number,subaward_amount,subaward_action_date,subaward_type,subaward_description,subawardee_name,subawardee_country_name,year,year_quarter
954,ASST_NON_SBR81018IN0001_1900,SBR81018IN0001,5000.0,5000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-11,Department of State,Department of State,REDACTED DUE TO PII,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
441,ASST_NON_SBR25018IN0028_1900,SBR25018IN0028,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-14,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
1002,ASST_NON_SBR82018IN0005_1900,SBR82018IN0005,5000.0,5000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-14,Department of State,Department of State,REDACTED DUE TO PII,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
451,ASST_NON_SBR25018IN0041_1900,SBR25018IN0041,20000.0,20000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-24,Department of State,Department of State,REDACTED DUE TO PII,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
442,ASST_NON_SBR25018IN0031_1900,SBR25018IN0031,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
443,ASST_NON_SBR25018IN0032_1900,SBR25018IN0032,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
1003,ASST_NON_SBR82018IN0006_1900,SBR82018IN0006,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
445,ASST_NON_SBR25018IN0034_1900,SBR25018IN0034,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
450,ASST_NON_SBR25018IN0039_1900,SBR25018IN0039,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
447,ASST_NON_SBR25018IN0036_1900,SBR25018IN0036,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
448,ASST_NON_SBR25018IN0037_1900,SBR25018IN0037,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
449,ASST_NON_SBR25018IN0038_1900,SBR25018IN0038,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
446,ASST_NON_SBR25018IN0035_1900,SBR25018IN0035,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
453,ASST_NON_SBR25018IN0042_1900,SBR25018IN0042,29000.0,26100.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-26,Department of State,Department of State,REDACTED DUE TO PII,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
444,ASST_NON_SBR25018IN0033_1900,SBR25018IN0033,150.0,150.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-09-26,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q3
1008,ASST_NON_SBR82019IN0003_1900,SBR82019IN0003,412.5,412.5,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-10-19,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q4
553,ASST_NON_SBR25019IN0001_1900,SBR25019IN0001,2650.0,5300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-11-16,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q4
556,ASST_NON_SBR25019IN0004_1900,SBR25019IN0004,4013.0,4013.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-12-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q4
555,ASST_NON_SBR25019IN0003_1900,SBR25019IN0003,4386.0,4386.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-12-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q4
557,ASST_NON_SBR25019IN0005_1900,SBR25019IN0005,3853.0,3853.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2018-12-21,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2018,2018Q4
558,ASST_NON_SBR25019IN0012_1900,SBR25019IN0012,767.0,767.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-04-03,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
559,ASST_NON_SBR25019IN0014_1900,SBR25019IN0014,725.0,725.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-04-25,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
554,ASST_NON_SBR25019IN0001_1900,SBR25019IN0001,2650.0,5300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-05-31,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
1145,ASST_NON_SBR93019IN0002_1900,SBR93019IN0002,230.0,230.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-06,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
563,ASST_NON_SBR25019IN0027_1900,SBR25019IN0027,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
565,ASST_NON_SBR25019IN0029_1900,SBR25019IN0029,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
562,ASST_NON_SBR25019IN0026_1900,SBR25019IN0026,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
561,ASST_NON_SBR25019IN0025_1900,SBR25019IN0025,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
560,ASST_NON_SBR25019IN0023_1900,SBR25019IN0023,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
566,ASST_NON_SBR25019IN0030_1900,SBR25019IN0030,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-07,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
571,ASST_NON_SBR25019IN0037_1900,SBR25019IN0037,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
567,ASST_NON_SBR25019IN0031_1900,SBR25019IN0031,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
568,ASST_NON_SBR25019IN0034_1900,SBR25019IN0034,300.0,300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
572,ASST_NON_SBR25019IN0038_1900,SBR25019IN0038,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
564,ASST_NON_SBR25019IN0028_1900,SBR25019IN0028,300.0,300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
570,ASST_NON_SBR25019IN0036_1900,SBR25019IN0036,200.0,200.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
573,ASST_NON_SBR25019IN0039_1900,SBR25019IN0039,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
569,ASST_NON_SBR25019IN0035_1900,SBR25019IN0035,120.0,120.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-06-11,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q2
1009,ASST_NON_SBR82019IN0006_1900,SBR82019IN0006,300.0,300.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-07-03,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
574,ASST_NON_SBR25019IN0042_1900,SBR25019IN0042,1882.0,1882.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-07-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
576,ASST_NON_SBR25019IN0047_1900,SBR25019IN0047,1000.0,1000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-02,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
575,ASST_NON_SBR25019IN0045_1900,SBR25019IN0045,554.0,554.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-02,Department of State,Department of State,INDIVIDUAL RECIPIENT,,VATICAN CITY,BRAZIL,,,,,,,,2019,2019Q3
577,ASST_NON_SBR25019IN0050_1900,SBR25019IN0050,1000.0,1000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-08,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
581,ASST_NON_SBR25019IN0056_1900,SBR25019IN0056,684.0,684.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-23,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
1010,ASST_NON_SBR82019IN0007_1900,SBR82019IN0007,1667.34,1667.34,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-23,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
580,ASST_NON_SBR25019IN0055_1900,SBR25019IN0055,394.0,394.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-23,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
579,ASST_NON_SBR25019IN0054_1900,SBR25019IN0054,394.0,394.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-23,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
578,ASST_NON_SBR25019IN0052_1900,SBR25019IN0052,1000.0,1000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-29,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
1148,ASST_NON_SBR93019IN0005_1900,SBR93019IN0005,2837.0,2837.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-29,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
582,ASST_NON_SBR25019IN0057_1900,SBR25019IN0057,1850.0,1850.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-08-30,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
584,ASST_NON_SBR25019IN0062_1900,SBR25019IN0062,1879.0,1879.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-06,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
1147,ASST_NON_SBR93019IN0004_1900,SBR93019IN0004,1817.0,0.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-17,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
586,ASST_NON_SBR25019IN0063_1900,SBR25019IN0063,1000.0,0.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-18,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
590,ASST_NON_SBR25019IN0079_1900,SBR25019IN0079,1000.0,1000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
589,ASST_NON_SBR25019IN0077_1900,SBR25019IN0077,1000.0,1000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
591,ASST_NON_SBR25019IN0080_1900,SBR25019IN0080,1000.0,1000.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
588,ASST_NON_SBR25019IN0076_1900,SBR25019IN0076,963.0,963.0,DESCRIPTION MASKED FOR PII PURPOSES,DESCRIPTION MASKED FOR PII PURPOSES,2019-09-24,Department of State,Department of State,INDIVIDUAL RECIPIENT,,BRAZIL,BRAZIL,,,,,,,,2019,2019Q3
