award_unique_key|award_id_fain|federal_action_obligation|total_obligated_amount|transaction_description|prime_award_base_transaction_description|action_date|awarding_agency_name|awarding_sub_agency_name|recipient_name|recipient_parent_name|recipient_country_name|primary_place_of_performance_country_name|subaward_number|subaward_amount|subaward_action_date|subaward_type|subaward_description|subawardee_name|subawardee_country_name
ASST_AGG_RRB_20221115_8010_BRA_6000||2059.32|2059.32|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|AGGREGATE AWARD.  RAILROAD RETIREMENT ACT PENSION PAID FROM THE SOCIAL SECURITY EQUIVALENT ACCOUNT.|2022-11-15|Railroad Retirement Board|Railroad Retirement Board|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SLMAQM18CA2108_1900|SLMAQM18CA2108|0.00|907327.00|TO EXTEND THE PERIOD OF PERFORMANCE FROM 30 JUNE 2022 TO 30 JUNE 2023; REVISE SOW, BUDGET/BUDGET NARRATIVE, AND ROLES AND RESPONSIBILITIES; AND UPDATE THE US DOS TERMS AND CONDITIONS FOR FOREIGN PUBLIC ENTITIES. ALL OTHER USDOS T&C REMAIN UNCHANGED.|TO EXTEND THE PERIOD OF PERFORMANCE FROM 30 JUNE 2022 TO 30 JUNE 2023; REVISE SOW, BUDGET/BUDGET NARRATIVE, AND ROLES AND RESPONSIBILITIES; AND UPDATE THE US DOS TERMS AND CONDITIONS FOR FOREIGN PUBLIC ENTITIES. ALL OTHER USDOS T&C REMAIN UNCHANGED.|2022-04-29|Department of State|Department of State|CONVENTION ON INTERNATIONAL TRADE IN ENDANGERED SPECIES OF WILD FAUNA AND FLORA||SWITZERLAND|BRAZIL|||||||
ASST_NON_SBR72021GR3007_1900|SBR72021GR3007|0.00|41160.13|EXTENSION OF DATES DUE TO THE BRAZILIAN ELECTIONS; CHANGE OF GO DUE TO END OF TOUR OF FORMER PAO.|EXTENSION OF DATES DUE TO THE BRAZILIAN ELECTIONS; CHANGE OF GO DUE TO END OF TOUR OF FORMER PAO.|2022-09-21|Department of State|Department of State|ASSOCIACAO DOS AMIGOS DO MUSEU DE ARTE DO RIO GRANDE DO SUL ADO MALAGOLI||BRAZIL|BRAZIL|||||||
ASST_AGG_2800202208310000006378_2800||139907.00|139907.00|AGGREGATE DISABILITY INSURANCE (DI) BENEFITS|AGGREGATE DISABILITY INSURANCE (DI) BENEFITS|2022-08-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|-555.93|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-11|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_AGG_2800202207310000013485_2800||2744188.00|2744188.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-07-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR93021GR3022_1900|SBR93021GR3022|0.00|5900.00|TO EXTEND PERIOD TO PERFORM SOME OF THE PROPOSED CULTURAL ACTIVITIES AS AGREED IN THE ORIGINAL AWARDS PROVISIONS.|TO EXTEND PERIOD TO PERFORM SOME OF THE PROPOSED CULTURAL ACTIVITIES AS AGREED IN THE ORIGINAL AWARDS PROVISIONS.|2022-12-28|Department of State|Department of State|SESC ADMINISTRACAO REGIONAL NO ESTADO DO MATO GROSSO DO SUL|SESC ADMINISTRACAO REGIONAL NO ESTADO DO MATO GROSSO DO SUL|BRAZIL|BRAZIL|||||||
ASST_NON_SECAAS22LA0052_1900|SECAAS22LA0052|15550.00|15550.00|COMMUNITY COLLEGE INITIATIVE PROGRAM|COMMUNITY COLLEGE INITIATIVE PROGRAM|2022-09-12|Department of State|Department of State|ASSOCIAÇAO PARA O INTERCÂMBIO EDUCACIONAL ENTRE OS ESTADOS UNIDOS DA AMÉRICA E O BRASIL.||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25022GR0046_1900|SBR25022GR0046|13169.00|13169.00|TO FURTHER STRENGTHEN AND ENHANCE THE EXPERIENCE OF THE 2023 BRAZIL YOUTH AMBASSADORS THROUGH POST-EXCHANGE INNOVATION AND INCLUSIVE ACTIVITIES.|TO FURTHER STRENGTHEN AND ENHANCE THE EXPERIENCE OF THE 2023 BRAZIL YOUTH AMBASSADORS THROUGH POST-EXCHANGE INNOVATION AND INCLUSIVE ACTIVITIES.|2022-09-27|Department of State|Department of State|USBEA BRASIL||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0047_1900|SBR25020GR0047|-33488.97|183639.93|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|2022-09-09|Department of State|Department of State|ASSOCIACAO DO LABORATORIO DE SISTEMAS INTEGRAVEIS TECNOLOGICO LSI-TEC|ASSOCIACAO DO LABORATORIO DE SISTEMAS INTEGRAVEIS TECNOLOGICO LSI-TEC|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-21|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25018GR0054_1900|SBR25018GR0054|-76315.22|88684.78|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|2022-05-02|Department of State|Department of State|COMISSAO PARA O INTERCAMBIO EDUCACIONAL ENTRE OS ESTADOS UNIDOS E O BRASIL||BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-03-11|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_AGG_2800202201310000013553_2800||2659875.00|2659875.00|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|AGGREGATE RETIREMENT INSURANCE (RI) BENEFITS|2022-01-31|Social Security Administration|Social Security Administration|MULTIPLE RECIPIENTS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR81022IN0007_1900|SBR81022IN0007|3000.00|3000.00|DESCRIPTION MASKED FOR PII PURPOSES|DESCRIPTION MASKED FOR PII PURPOSES|2022-09-23|Department of State|Department of State|INDIVIDUAL RECIPIENT||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3106_1900|SBR25021GR3106|0.00|52400.00|TO REALIGN BUDGET AND UPDATE STRATEGIC PROGRAMMING.|TO REALIGN BUDGET AND UPDATE STRATEGIC PROGRAMMING.|2022-06-13|Department of State|Department of State|CONSELHO CULTURAL THOMAS JEFFERSON|CONSELHO CULTURAL THOMAS JEFFERSON|BRAZIL|BRAZIL|||||||
ASST_NON_SINLEC22LA0423_1900|SINLEC22LA0423|3012000.00|3012000.00|UNODC WILL WORK TO COUNTER THE INCREASING CHALLENGES IN ILLEGAL DEFORESTATION AND ILLEGAL TIMBER TRAFFICKING IN BRAZIL.|UNODC WILL WORK TO COUNTER THE INCREASING CHALLENGES IN ILLEGAL DEFORESTATION AND ILLEGAL TIMBER TRAFFICKING IN BRAZIL.|2022-09-27|Department of State|Department of State|UNITED NATIONS OFFICE ON DRUGS AND CRIME||AUSTRIA|BRAZIL|||||||
ASST_NON_FA95502310030_5700|FA95502310030|86000.00|260000.00|EFFECT OF GAPS AND BUMPS ON LAMINAR-TURBULENT TRANSITION IN BOUNDARY LAYERS|EFFECT OF GAPS AND BUMPS ON LAMINAR-TURBULENT TRANSITION IN BOUNDARY LAYERS|2022-12-14|Department of Defense|Department of the Air Force|FUNDACAO DE APOIO A UNIVERSIDADE DE SAO PAULO|FUNDACAO DE APOIO A UNIVERSIDADE DE SAO PAULO|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
ASST_NON_NU2GGH001152_7523|NU2GGH001152|0.00|5985401.07|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|GH13-1343: STRENGTHEN BRAZIL'S NATIONAL RESPONSE TO HIV AND OTHER DISEAS|2022-02-22|Department of Health and Human Services|Centers for Disease Control and Prevention|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|FIOTEC - FUNDACAO PARA O DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO EM SAUDE|BRAZIL|BRAZIL|||||||
