award_unique_key|award_id_fain|federal_action_obligation|total_obligated_amount|transaction_description|prime_award_base_transaction_description|action_date|awarding_agency_name|awarding_sub_agency_name|recipient_name|recipient_parent_name|recipient_country_name|primary_place_of_performance_country_name|subaward_number|subaward_amount|subaward_action_date|subaward_type|subaward_description|subawardee_name|subawardee_country_name
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|0.00|150000.00|TO EXTEND THE PERIOD OF PERFORMANCE DUE TO COVID-19 PANDEMIC. PARTICIPANTS WILL NEED TO RESCHEDULE THEIR TRAVEL.|TO EXTEND THE PERIOD OF PERFORMANCE DUE TO COVID-19 PANDEMIC. PARTICIPANTS WILL NEED TO RESCHEDULE THEIR TRAVEL.|2021-08-04|Department of State|Department of State|AGENCIA DE JORNALISMO E CHECAGEM LUPA S/A||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25019GR0102_1900|SBR25019GR0102|150000.00|150000.00|TO COVER COSTS OF THE YEAR LONG PROGRAM TO BE PROVIDED BY AGENCIA LUPA TO DEVELOP JOURNALISTS, STUDENTS, AND JOURNALISM TEACHERS IN FACT CHECKING|TO COVER COSTS OF THE YEAR LONG PROGRAM TO BE PROVIDED BY AGENCIA LUPA TO DEVELOP JOURNALISTS, STUDENTS, AND JOURNALISM TEACHERS IN FACT CHECKING|2019-09-27|Department of State|Department of State|MISCELLANEOUS FOREIGN AWARDEES||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0030_1900|SBR25020GR0030|18920.00|18920.00|THE PROJECT WILL PRODUCE TWO INFORMATIONAL PRODUCTS TO FIGHT COVID-19 DISINFORMATION DURING FOUR MONTHS|THE PROJECT WILL PRODUCE TWO INFORMATIONAL PRODUCTS TO FIGHT COVID-19 DISINFORMATION DURING FOUR MONTHS|2020-09-22|Department of State|Department of State|ASSOCIACAO MURAL AGENCIA DE JORNALISMO DAS PERIFERIAS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0035_1900|SBR25020GR0035|15055.00|15055.00|ENHANCE STRATEGIC PROGRAMING IN THE AREAS OF STEAM, ENTREPRENEURSHIP, MEDIA LITERACY AND HUMAN RIGHTS TO STUDENTS AND UNDERPRIVILEGED GROUPS|ENHANCE STRATEGIC PROGRAMING IN THE AREAS OF STEAM, ENTREPRENEURSHIP, MEDIA LITERACY AND HUMAN RIGHTS TO STUDENTS AND UNDERPRIVILEGED GROUPS|2020-09-28|Department of State|Department of State|ASSOCIACAO CULTURAL BRASIL ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25020GR0056_1900|SBR25020GR0056|4320.00|4320.00|ENHANCE AMERICAN CORNER STRATEGIC PROGRAMMING IN COUNTERING DISINFORMATION, STEAM AND ENTREPRENEURSHIP, AND INCREASE PROGRAMS ON EDUCATIONUSA|ENHANCE AMERICAN CORNER STRATEGIC PROGRAMMING IN COUNTERING DISINFORMATION, STEAM AND ENTREPRENEURSHIP, AND INCREASE PROGRAMS ON EDUCATIONUSA|2020-09-28|Department of State|Department of State|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC|SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3075_1900|SBR25021GR3075|8700.00|8700.00|TO ADVANCE ON DIGITAL TRANSFORMATION, DEVELOP A MEDIA EDUCATION PROJECT FOR YOUTH AND ENGAGE WITH STUDENTS VIRTUALLY BY MODERNIZING THE STUDIO.|TO ADVANCE ON DIGITAL TRANSFORMATION, DEVELOP A MEDIA EDUCATION PROJECT FOR YOUTH AND ENGAGE WITH STUDENTS VIRTUALLY BY MODERNIZING THE STUDIO.|2021-09-14|Department of State|Department of State|ASSOCIACAO CULTURAL BRASIL ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3098_1900|SBR25021GR3098|132358.00|132358.00|TO IMPLEMENT IMPROVEMENTS IN TECHNOLOGY, MULTIMEDIA, LOOK AND FEEL AND ENHANCE STRATEGIC PROGRAMMING IN STEAM, AMERICAN CULTURE, ENGLISH LANGUAGE ONLINE LEARNING AND SOCIAL INCLUSION AT SEVEN BINATIONAL CENTERS IN BRAZIL.|TO IMPLEMENT IMPROVEMENTS IN TECHNOLOGY, MULTIMEDIA, LOOK AND FEEL AND ENHANCE STRATEGIC PROGRAMMING IN STEAM, AMERICAN CULTURE, ENGLISH LANGUAGE ONLINE LEARNING AND SOCIAL INCLUSION AT SEVEN BINATIONAL CENTERS IN BRAZIL.|2021-09-21|Department of State|Department of State|COLIGACAO DAS ENTIDADES DE EDUCACAO E CULTURA BRASIL - ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3101_1900|SBR25021GR3101|15000.00|15000.00|PROVIDE BASIC TRAINING ON MEDIA AND INFORMATION LITERACY TO UP TO 60 PEOPLE IN 2 SELECTED RURAL COMMUNITIES THAT ARE PART OF VAGA LUME'S NETWORK OF COMMUNITY LIBRARIES IN THE BRAZILIAN STATE OF AMAZONAS.|PROVIDE BASIC TRAINING ON MEDIA AND INFORMATION LITERACY TO UP TO 60 PEOPLE IN 2 SELECTED RURAL COMMUNITIES THAT ARE PART OF VAGA LUME'S NETWORK OF COMMUNITY LIBRARIES IN THE BRAZILIAN STATE OF AMAZONAS.|2021-09-16|Department of State|Department of State|ASSOCIACAO VAGA LUME||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3102_1900|SBR25021GR3102|-10.94|13089.06|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|AWARD IS HEREBY BEING AMENDED TO DEOBLIGATE UNUSED FUNDS.|2023-07-18|Department of State|Department of State|ASSOCIACAO DA ESCOLA DE JORNALISMO||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3102_1900|SBR25021GR3102|13100.00|13089.06|THIS IS A COMPLEMENTARY TRAINING FOR THE REPORT FOR THE WORLD BRAZIL PROJECT, A GLOBAL EXPANSION OF REPORT FOR AMERICA, FOCUSED ON STRENGTHENING LOCAL JOURNALISM AND REDUCING NEWS DESERTS.|THIS IS A COMPLEMENTARY TRAINING FOR THE REPORT FOR THE WORLD BRAZIL PROJECT, A GLOBAL EXPANSION OF REPORT FOR AMERICA, FOCUSED ON STRENGTHENING LOCAL JOURNALISM AND REDUCING NEWS DESERTS.|2021-09-16|Department of State|Department of State|MISCELLANEOUS FOREIGN AWARDEES||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3103_1900|SBR25021GR3103|30200.00|29900.00|AIMS TO EMPOWER WOMEN SO THAT THEY CAN PROTECT THEMSELVES FROM ONLINE ATTACKS THOUGH A JOURNEY OF CYBER-RESILIENCE AND OF CONFRONTING POLITICAL VIOLENCE AND HATE SPEECH. THE PROJECT SEEKS TO PROMOTE BETTER USE OF SOCIAL MEDIA AND TO REDUCE THE POTENTIAL.|AIMS TO EMPOWER WOMEN SO THAT THEY CAN PROTECT THEMSELVES FROM ONLINE ATTACKS THOUGH A JOURNEY OF CYBER-RESILIENCE AND OF CONFRONTING POLITICAL VIOLENCE AND HATE SPEECH. THE PROJECT SEEKS TO PROMOTE BETTER USE OF SOCIAL MEDIA AND TO REDUCE THE POTENTIAL.|2021-09-17|Department of State|Department of State|REDES CORDIAIS - EDUCACAO E MIDIAS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3104_1900|SBR25021GR3104|0.00|35900.00|EXTENSION OF THE GRANT PERFORMANCE PERIOD, DUE TO DELAYS IN THE IMPLEMENTATION OF THE TRAINING AND THE CREATION OF A SECOND PHASE, FUNDED BY ANOTHER SOURCE.|EXTENSION OF THE GRANT PERFORMANCE PERIOD, DUE TO DELAYS IN THE IMPLEMENTATION OF THE TRAINING AND THE CREATION OF A SECOND PHASE, FUNDED BY ANOTHER SOURCE.|2022-09-06|Department of State|Department of State|ASSOCIACAO DA ESCOLA DE JORNALISMO||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3104_1900|SBR25021GR3104|35900.00|35900.00|TO COVER COSTS FOR A THREE-MONTH TRAINING COURSE (30 HOURS) FOCUSED ON THE MANAGEMENT AND FINANCING OF LOCAL JOURNALISTIC ORGANIZATIONS, BASED ON THE VALUES OF DIVERSITY, REPRESENTATIVENESS AND INCLUSION, ENGAGEMENT AND DISTRIBUTION WITH COMMUNITIES.|TO COVER COSTS FOR A THREE-MONTH TRAINING COURSE (30 HOURS) FOCUSED ON THE MANAGEMENT AND FINANCING OF LOCAL JOURNALISTIC ORGANIZATIONS, BASED ON THE VALUES OF DIVERSITY, REPRESENTATIVENESS AND INCLUSION, ENGAGEMENT AND DISTRIBUTION WITH COMMUNITIES.|2021-09-21|Department of State|Department of State|ASSOCIACAO DA ESCOLA DE JORNALISMO||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3111_1900|SBR25021GR3111|20940.00|20940.00|PROMOTE ENTREPRENEURSHIP, FEMALE AND YOUTH EMPOWERMENT, PROFESSIONAL TRAINING, COUNTERING DISINFORMATION, ENGLISH LANGUAGE LEARNING, AND THE CREATION OF LIFE OPPORTUNITIES FOR MINORITIES GROUPS IN MANAUS.|PROMOTE ENTREPRENEURSHIP, FEMALE AND YOUTH EMPOWERMENT, PROFESSIONAL TRAINING, COUNTERING DISINFORMATION, ENGLISH LANGUAGE LEARNING, AND THE CREATION OF LIFE OPPORTUNITIES FOR MINORITIES GROUPS IN MANAUS.|2021-09-20|Department of State|Department of State|INSTITUTO CULTURAL BRASIL ESTADOS UNIDOS|INSTITUTO CULTURAL BRASIL ESTADOS UNIDOS|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3116_1900|SBR25021GR3116|5175.00|3950.00|TO ENHANCE AND DEVELOP PERSONAL SKILLS, GLOBAL AWARENESS AND CRITICAL VIEW OF STUDENTS AND TEACHERS FROM PUBLIC SCHOOLS ON THEMES SUCH AS SUSTAINABILITY, EDUCATIONAL STRATEGIES, ENTREPRENEURSHIP, HUMAN RIGHTS, AND COUNTER DISINFORMATION.|TO ENHANCE AND DEVELOP PERSONAL SKILLS, GLOBAL AWARENESS AND CRITICAL VIEW OF STUDENTS AND TEACHERS FROM PUBLIC SCHOOLS ON THEMES SUCH AS SUSTAINABILITY, EDUCATIONAL STRATEGIES, ENTREPRENEURSHIP, HUMAN RIGHTS, AND COUNTER DISINFORMATION.|2021-09-20|Department of State|Department of State|INSTITUTO CULTURAL BRASILEIRO NORTEAMERICANO|INSTITUTO CULTURAL BRASILEIRO NORTEAMERICANO|BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3117_1900|SBR25021GR3117|21616.00|21616.00|HELP ENHANCE ECONOMIC OPPORTUNITIES OF UNDERPRIVILEGED GROUPS FROM JUIZ DE FORA BY FOSTERING ACADEMIC AND PROFESSIONAL DEVELOPMENT, AS WELL AS SOCIAL INCLUSION, MEDIA LITERACY, ENTREPRENEURSHIP, ENGLISH LEARNING, DIVERSITY, EQUAL OPPORTUNITY, AND HEALTH.|HELP ENHANCE ECONOMIC OPPORTUNITIES OF UNDERPRIVILEGED GROUPS FROM JUIZ DE FORA BY FOSTERING ACADEMIC AND PROFESSIONAL DEVELOPMENT, AS WELL AS SOCIAL INCLUSION, MEDIA LITERACY, ENTREPRENEURSHIP, ENGLISH LEARNING, DIVERSITY, EQUAL OPPORTUNITY, AND HEALTH.|2021-09-20|Department of State|Department of State|ASSOCIACAO CULTURAL BRASIL ESTADOS UNIDOS||BRAZIL|BRAZIL|||||||
ASST_NON_SBR25021GR3123_1900|SBR25021GR3123|-684.85|29115.15|AWARD IS HEREBY BEIND AMENDED TO DEOBLIGATE UNUSED FUNDS.|AWARD IS HEREBY BEIND AMENDED TO DEOBLIGATE UNUSED FUNDS.|2023-07-24|Department of State|Department of State|ASSOCIACAO BRASILEIRA DE JORNALISMO INVESTIGATIVO - ABRAJI||BRAZIL|BRAZIL|||||||
